course_name,host_organization,provider_type,lead_instructor,fee,part_of_program,year_established,duration,format,url,C1,C2,C3,C4,C5,C6,O1,O2,O3,notes,rank,eval_score,o_count,c_count,score_cost,score_audience_fit,score_provider,score_quality,score_recency
The Science and Implications of Generative AI (open archive),Harvard Kennedy School,university,"Sharad Goel (with Dan Levy, Teddy Svoronos)",free (CC BY 4.0 archive),DPI-681M course family,2024,"11 sessions, ~15.5 hrs",self-paced open archive,https://generative-ai-course.hks.harvard.edu/spring-2024,Y,Y,Y,Y,Y,Y,Y,Y,Y,Purpose-built for non-technical public-sector leaders; no certificate; live exec version $1995,1,95.0,3,6,14,15,10,3,3
AI Fundamentals for Public Servants,Stanford Online + Stanford HAI (on Apolitical),university,Stanford HAI faculty/fellows (unnamed publicly),free (requires free Apolitical public-servant account),Stanford HAI Policymaker Education,2024,self-paced microcourse,self-paced video,https://apolitical.co/microcourses/en/ai-fundamentals-for-public-servants-opportunities-risks-and-strategies/,Y,Y,Y,Y,Y,Y,Y,Y,Y,1700+ public servants enrolled; account restricted to public servants/policymakers,2,94.0,3,6,14,15,8,4,3
Responsible AI for Public Sector Legal Professionals,"InnovateUS (Burnes Center, Northeastern University)",nonprofit,Beth Simone Noveck (curriculum lead),free; CLE-eligible in some states,InnovateUS at-your-own-pace courses,2025,"2 parts, self-paced",self-paced video + activities,https://innovate-us.org/course/responsible-ai-for-public-sector-legal-professionals/,Y,Y,Y,Y,Y,Y,Y,Y,Y,Promoted via National Association of Attorneys General,3,94.0,3,6,15,13,9,3,4
Responsible AI for Public Organizations,"InnovateUS (Burnes Center, Northeastern University)",nonprofit,Beth Simone Noveck (program lead),free (certificate),InnovateUS at-your-own-pace courses,2025,"2 parts, ~2 hrs",self-paced video + worksheets,https://innovate-us.org/course/responsible-ai-for-public-organizations/,Y,Y,Y,Y,Y,N,Y,Y,Y,Teaches NIST AI RMF directly to government staff; agency-level companion course,4,93.7,3,5,15,15,9,4,4
Responsible AI for Public Professionals,"InnovateUS (Burnes Center, Northeastern University + GovLab)",nonprofit,Beth Simone Noveck (program lead),free (certificate included),InnovateUS at-your-own-pace courses,2024,"2 parts, ~1 hr 45 min",self-paced video + GenAI demos,https://innovate-us.org/course/responsible-ai-for-public-professionals/,Y,Y,Y,Y,Y,N,Y,Y,Y,"Adopted statewide by NJ, NY, GA, DC; refreshed every 6 months; WCAG 2.1",5,93.7,3,5,15,15,9,5,3
AI and Digital Transformation in Government,University of Oxford Saïd Business School + UNESCO,university/intergovernmental,Oxford Saïd faculty team (no single named lead),free (joint certificate included),UNESCO SPARK-AI Alliance,2025,~12 hrs,self-paced online (EN/ES),https://www.sbs.ox.ac.uk/programmes/executive-education/online-learning/ai-and-digital-transformation-government,N,Y,Y,Y,Y,Y,Y,Y,Y,Strongest civil-servant fit; found by 4 of 7 tracks; 30k+ learners in 192 countries,6,92.7,3,5,15,15,7,5,4
Introduction to Artificial Intelligence (UIUC),"University of Illinois Urbana-Champaign, Gies College (Coursera)",university,Robert J. Brunner,audit free; cert paid,Gies open courses,2025,"~21 hrs, 4 modules",self-paced MOOC,https://www.coursera.org/learn/intro-to-artificial-intelligence,Y,Y,Y,Y,Y,Y,Y,Y,Y,Strongest all-six-C coverage in gap sweep; 17.5k enrolled 4.7/5,7,91.0,3,6,12,12,9,4,4
AI Foundations for Business Professionals (specialization),"Saïd Business School, University of Oxford (Coursera)",university,Matthias Holweg,audit free; cert ~$49/mo subscription,Oxford 2025 Coursera/edX launch (21 courses),2025,~40 hrs,self-paced video + assignments,https://www.coursera.org/specializations/ai-foundations-business-professionals,Y,Y,N,Y,Y,Y,Y,Y,Y,Beginner; 21k+ enrolled 4.8/5; includes AI Governance course,8,89.7,3,5,12,12,10,5,4
Free Online Certificate in AI and Career Empowerment,"University of Maryland, Smith School of Business",university,Balaji Padmanabhan,free (certificate included),Smith Executive Education,2025,10 self-paced modules,self-paced video + expert interviews,https://www.rhsmith.umd.edu/programs/executive-education/learning-opportunities-individuals/free-online-certificate-artificial-intelligence-and-career-empowerment,Y,Y,Y,N,Y,N,Y,Y,Y,Built for transitioning federal workers; 37k+ enrolled,9,88.3,3,4,15,13,9,4,4
AI Literacy for Everyone (specialization),University of Michigan (Coursera),university,U-M multidisciplinary faculty,audit free per course; cert via subscription,U-M Center for Academic Innovation GenAI series,2024,~30 hrs,self-paced video + assignments,https://www.coursera.org/specializations/ai-literacy-for-everyone,Y,Y,Y,Y,Y,Y,Y,Y,Y,Broadest C/O coverage; 4.7/5; anchor course is Dec 2023 — specialization is 2024+ unit,10,88.0,3,6,12,12,7,4,3
AI for Work and Life (UNF),University of North Florida (Open edX),university,"Josh Gellers, Suzanne Ehrlich et al.",module content free to audit; cert $249 (over cap),UNF AI for Work and Life certificate,2025,"8 modules, ~10 hrs",online on-demand + live expert sessions,https://learn.getcertificate.online/courses/course-v1:UNF+AI101+2025_S/about,Y,Y,Y,Y,Y,Y,Y,Y,Y,Explicit AI 101 branding; QA restored eligibility via free-audit path,11,88.0,3,6,12,12,8,2,4
Artificial Intelligence for Everyone (Universiti Malaya),Universiti Malaya (FutureLearn),university,Norisma Idris,free tier (8-wk access) or $109,none,2025,"8 weeks, 2 hrs/wk",self-paced online,https://www.futurelearn.com/courses/artificial-intelligence-for-everyone,Y,Y,Y,Y,Y,N,Y,Y,Y,Former Track-1 near-miss - launch date now verified (2025); UM AI dept faculty,12,86.7,3,5,14,12,8,2,4
AI Governance,"Saïd Business School, University of Oxford (Coursera)",university,Matthias Holweg,audit free; cert ~$49,AI Foundations for Business Professionals specialization,2025,~2 weeks,self-paced video + peer review,https://www.coursera.org/learn/ai-governance,Y,N,N,Y,Y,Y,Y,Y,Y,"Strong C5: Trustworthy AI Cycle, red-teaming; 12k+ enrolled",13,85.3,3,4,12,12,10,4,4
Generative AI Cybersecurity & Privacy for Leaders: A Primer,Vanderbilt University (Coursera),university,Jules White,audit free; paid cert optional,GenAI Cybersecurity & Privacy for Leaders specialization,2025,"4 hrs, 5 modules",self-paced video + prompt practice,https://www.coursera.org/learn/generative-ai-security-privacy,N,Y,N,Y,Y,Y,Y,Y,Y,Strongest deepfake/synthetic-media coverage; for non-technical leaders,14,83.3,3,4,12,11,9,4,4
AI Regulation: Navigating the EU AI Act,"TU Delft (DelftX, edX)",university,Marie-Therese Sekwenz,audit free; cert $140,Navigating AI and Online Platform Regulations,2026,"4 weeks, 2-4 hrs/wk",self-paced MOOC,https://learningforlife.tudelft.nl/ai-regulation-navigating-the-eu-ai-act/,N,Y,Y,Y,Y,Y,Y,Y,Y,EU-specific law - comparative governance for US staff; first run Jun 2026,15,81.7,3,5,12,8,8,2,5
AI in National Security: Integrating AI into Public Sector Missions,Special Competitive Studies Project (Coursera),nonprofit,Ylli Bajraktari; Jack Shanahan,free,AI + AGI in National Security microcredential,2025,"5 hrs, 4 modules",self-paced video + exercises,https://www.coursera.org/learn/ai-national-security,Y,Y,Y,N,Y,Y,Y,N,Y,Purpose-built for federal/natsec workforce; NSCAI successor org,16,81.7,2,5,14,15,8,4,4
AI in Education: Leveraging ChatGPT for Teaching,"Wharton Online, University of Pennsylvania (Coursera)",university,"Ethan Mollick, Lilach Mollick",Coursera Plus ~$59/mo (7-day free trial); free audit not confirmed,none,2024,"~6 hrs, 4 modules",self-paced video,https://www.coursera.org/learn/ai-in-education-leveraging-chatgpt-for-teaching,Y,Y,Y,Y,Y,N,Y,Y,Y,4.8/5 29k enrolled; educator-framed but general GenAI literacy,17,78.7,3,5,6,9,10,4,3
