number,name,url,result,notes
1,The Solution Evaluation Knowledge Area,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/184869c1-149b-54d0-9815-7d267874fdf5,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
2,Basic Analytical Methods,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/a7bff84b-cb1a-5cbc-8bea-c3f4e751d16b,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
3,Business Analysis Analytical Techniques,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/2e36782b-d628-5acf-a75c-2f0f66e3db66,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
4,(BOOK) Rule-Making Rules: An Analytical Framework for Political Institutions,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/622f3aa7-3dc2-5c57-b353-09e37d6681f5,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
5,(ASSESSMENT) Analytical thinking,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/2aacbc96-e847-53aa-8e85-cecc967e7604,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
6,All other resources,https://gsa.csod.com/GlobalSearch/Search.aspx#q=Analytical%20Thinking&s=1&a=typ%3D0%26lng%3D1%26dmin%3D0%26dkey%3D1,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
7,Developing Your Analytical Skills: How to Research and Present Information,https://www.amanet.org/developing-your-analytical-skills-how-to-research-and-present-information/,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
8,Critical and Analytical Thinking Skills for Office Personnel,https://www.federaltraining.com/courses/analytical_skills/Critical_and_Analytical_Thinking_Skills_training.aspx,FORBIDDEN (403),env=external. tld=all. HEAD returned 403 (server may not support HEAD)
9,Building Coalitions: The Art of Successful Collaboration,https://leadership.opm.gov/programs.aspx?course=245,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
10,Center for Leadership Development: All Collaboration Courses,https://leadership.opm.gov/search.aspx?c=37&sortby=2,TIMEOUT,env=external. tld=all. Wall-clock timeout after 8s — server accepted TCP but stalled (likely TLS handshake hang)
11,Cultivating Cross-functional Team Collaboration,https://share.percipio.com/cd/7eovnEgR2,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
12,Encouraging Team Communication and Collaboration,https://share.percipio.com/cd/XyhOgXc9F,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
13,Optimizing Virtual Collaboration,https://gsa.csod.com/ui/lms-learning-details/app/onlineContent/94ca3da0-371f-5370-864c-2de081f09b9c,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
14,Exploring Virtual Collaboration,https://gsa.csod.com/ui/lms-learning-details/app/course/eadb4578-71d4-4c82-8e63-f9d887d073b3,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
15,All other resources,https://gsa.csod.com/GlobalSearch/Search.aspx#q=Collaboration&s=1&a=,DNS ERROR,"env=external. tld=all. DNS error — [Errno 8] nodename nor servname provided, or not known"
16,Investigating Arguments,https://share.percipio.com/cd/EXJzE4oVy,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
17,Develop Your Critical Thinking and Cognitive Flexibility,https://share.percipio.com/cd/MNRiBTpd1,OK (200),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=200
18,Choosing and Using the Best Solution,https://share.percipio.com/cd/LpcW8NTMl,SERVER ERROR (500),env=external. tld=all. HEAD returned 400; confirming with GET. HEAD=400 vs GET=500
